"light_bias","v_mean","Y","p_bite","r_scale","N1","N2","N3","N4","total"
0,1.2,1,0.35,0.25,1,2,22,4,29
0.25,1.2,1,0.35,0.25,0,0,16,4,20
0.5,1.2,1,0.35,0.25,0,2,11,4,17
0.75,1.2,1,0.35,0.25,0,1,14,4,19
1,1.2,1,0.35,0.25,0,0,0,0,0
0,1.6,1,0.35,0.25,1,1,13,9,24
0.25,1.6,1,0.35,0.25,1,1,13,6,21
0.5,1.6,1,0.35,0.25,0,2,17,6,25
0.75,1.6,1,0.35,0.25,0,2,12,4,18
1,1.6,1,0.35,0.25,0,0,0,0,0
0,0.8,2,0.35,0.25,0,2,24,0,26
0.25,0.8,2,0.35,0.25,0,1,12,2,15
0.5,0.8,2,0.35,0.25,0,1,19,4,24
0.75,0.8,2,0.35,0.25,0,0,18,5,23
1,0.8,2,0.35,0.25,0,0,0,0,0
0,1.2,2,0.35,0.25,0,1,19,7,27
0.25,1.2,2,0.35,0.25,0,4,10,7,21
0.5,1.2,2,0.35,0.25,0,2,10,2,14
0.75,1.2,2,0.35,0.25,0,0,11,6,17
1,1.2,2,0.35,0.25,0,0,0,0,0
0,1.6,2,0.35,0.25,0,2,12,5,19
0.25,1.6,2,0.35,0.25,0,1,17,2,20
0.5,1.6,2,0.35,0.25,0,1,12,5,18
0.75,1.6,2,0.35,0.25,0,1,9,5,15
1,1.6,2,0.35,0.25,0,0,0,0,0
0,0.8,3,0.35,0.25,0,0,18,6,24
0.25,0.8,3,0.35,0.25,0,1,25,6,32
0.5,0.8,3,0.35,0.25,0,0,15,2,17
0.75,0.8,3,0.35,0.25,0,2,7,4,13
1,0.8,3,0.35,0.25,0,0,0,0,0
0,1.2,3,0.35,0.25,0,1,16,3,20
0.25,1.2,3,0.35,0.25,0,1,14,4,19
0.5,1.2,3,0.35,0.25,0,0,16,7,23
0.75,1.2,3,0.35,0.25,0,2,28,7,37
1,1.2,3,0.35,0.25,0,0,0,0,0
0,1.6,3,0.35,0.25,0,5,16,6,27
0.25,1.6,3,0.35,0.25,0,1,17,4,22
0.5,1.6,3,0.35,0.25,0,0,11,3,14
0.75,1.6,3,0.35,0.25,0,0,14,4,18
1,1.6,3,0.35,0.25,0,0,0,0,0
0,0.8,0,0.5,0.25,0,2,15,5,22
